6/29/2007,Ratatouille,150000000,206445654
11/8/2013,Thor: The Dark World,150000000,206360018
6/15/2005,Batman Begins,150000000,205343774
7/31/2015,Mission: Impossible - Rogue Nation,150000000,194522893
5/6/2011,Thor,150000000,181030624
11/7/2008,Madagascar: Escape 2 Africa,150000000,180010950
5/1/2009,X-Men Origins: Wolverine,150000000,179883157
5/22/2009,Night at the Museum: Battle of the Smithsonian,150000000,177243721
5/26/2011,Kung Fu Panda 2,150000000,165249063
5/15/2015,Mad Max: Fury Road,150000000,153636354
11/5/2003,The Matrix Revolutions,150000000,139259759
5/5/2006,Mission: Impossible III,150000000,133501348
5/15/2009,Angels & Demons,150000000,133375846
5/14/2004,Troy,150000000,133298577
7/1/2010,The Last Airbender,150000000,131601062
11/2/2007,Bee Movie,150000000,126631277
7/24/2009,G-Force,150000000,119436770
11/21/2008,Bolt,150000000,114053759
3/30/2012,Wrath of the Titans,150000000,83670083
11/16/2007,Beowulf,150000000,82195215
5/11/2012,Dark Shadows,150000000,79727149
6/28/2013,White House Down,150000000,73103784
2/12/2010,The Wolfman,150000000,61979680
3/11/2011,Mars Needs Moms,150000000,21392758
6/15/2005,Batman Begins (IMAX),150000000,15900000
12/21/2016,Passengers,150000000,0
11/3/2006,Flushed Away,149000000,64665672
6/8/2012,Madagascar 3: Europe's Most Wanted,145000000,216391482
12/16/2011,Mission: Impossible - Ghost Protocol,145000000,209397903
6/13/2014,How to Train Your Dragon 2,145000000,177002924
6/16/1999,Tarzan,145000000,171091819
3/7/2014,Mr. Peabody & Sherman,145000000,111506430
11/21/2012,Rise of the Guardians,145000000,103412758
4/8/2005,Sahara,145000000,68671925
11/22/2002,Die Another Day,142000000,160932247
5/8/2009,Star Trek,140000000,257730019
7/1/1998,Armageddon,140000000,201573391
7/3/2002,Men in Black 2,140000000,190418803
7/22/2011,Captain America: The First Avenger,140000000,176654505
7/10/1998,Lethal Weapon 4,140000000,129734803
3/27/2013,G.I. Joe: Retaliation,140000000,122523060
12/5/2003,The Last Samurai,140000000,111110575
12/21/2005,Fun With Dick And Jane,140000000,110550000
12/12/2014,Exodus: Gods and Kings,140000000,65014513
5/3/2002,Spider-Man,139000000,403706375
3/6/2009,Watchmen,138000000,107509799
7/29/2005,Stealth,138000000,31704416
6/13/2008,The Incredible Hulk,137500000,134533885
6/20/2003,Hulk,137000000,132177234
7/11/2001,Final Fantasy: The Spirits Within,137000000,32131830
11/16/2012,The Twilight Saga: Breaking Dawn Part 2,136200000,292324737
10/1/2012,The Croods,135000000,187168425
11/19/1999,The World is Not Enough,135000000,126930660
3/4/2011,Rango,135000000,123257581
11/14/2003,Master and Commander: The Far Side of the World,135000000,93926386
7/17/2013,Turbo,135000000,83028130
11/18/2011,Happy Feet Two,135000000,64006466
7/28/2006,Miami Vice,135000000,63450470
