Release Date,Movie Title,Profit Amount
5/24/1991,Hudson Hawk,-48644333
8/22/2014,Sin City: A Dame to Kill For,-51242196
10/27/2000,Lucky Numbers,-54985766
9/23/2005,Oliver Twist,-63012713
9/4/2015,Tian jiang xiong shi,-64925930
3/11/2016,The Free State of Jones,-65000000
7/14/2006,Little Man,-5704298
10/8/1999,Random Hearts,-32945076
12/27/2006,Perfume: The Story of a Murderer,-61476707
6/11/1993,Jurassic Park,332708305
7/25/2002,Austin Powers in Goldmember,150117789
4/1/2011,Hop,45085305
6/24/1994,Wyatt Earp,-37948000
8/3/1994,Clear and Present Danger,59832939
4/21/2000,U-571,15086030
11/17/1995,The American President,-1990504
6/20/2008,The Love Guru,-29799878
2/23/2001,3000 Miles to Graceland,-46261368
10/3/2014,Gone Girl,106767189
3/30/2007,Blades of Glory,57245842
8/2/2013,2 Guns,14612460
9/18/2015,Maze Runner: The Scorch Trials,9765331
12/22/2004,Meet the Fockers,219167575
2/7/2014,The Lego Movie,197784718
3/9/2007,300,150592590
12/25/2008,Marley & Me,83153751
12/10/1999,The Green Mile,76801374
11/4/2005,Chicken Little,75386665
6/5/1998,The Truman Show,65466701
6/14/2002,The Bourne Identity,61468960
10/9/2009,Couples Retreat,49205660
5/30/2003,The Italian Job,46126012
11/17/1995,Goldeneye,45978900
5/9/2003,Daddy Day Care,44148781
6/18/1999,The General's Daughter,42705852
12/18/1998,The Prince of Egypt,41217900
8/6/2004,Collateral,40170152
7/4/2001,Cats & Dogs,33375151
12/20/2002,Two Weeks Notice,33354918
10/2/1998,Antz,30646554
4/19/2002,The Scorpion King,30580000
10/15/2010,Red,30380162
3/5/2004,Starsky & Hutch,28200225
12/21/2005,Cheaper by the Dozen 2,22571173
8/13/2010,Eat Pray Love,20574010
12/21/2012,Jack Reacher,20070736
6/27/1990,Days of Thunder,18771268
4/23/2004,Man on Fire,17906816
12/22/2000,The Family Man,15764085
9/9/2011,Contagion,15658097
12/22/1999,Any Given Sunday,15530832
5/15/1998,The Horse Whisperer,15370763
2/6/2009,Coraline,15286229
10/1/2004,Ladder 49,14541707
7/28/1999,Deep Blue Sea,13648228
10/28/2009,Michael Jackson's This Is It,12091016
1/17/2003,Kangaroo Jack,6723216
6/13/2008,The Happening,4506874
4/7/2000,Rules of Engagement,1322858
3/10/2006,The Shaggy Dog,1123569
11/22/1996,Jingle All the Way,573641
4/2/2004,Hellboy,-896099
12/25/1998,A Civil Action,-3297099
8/17/2012,ParaNorman,-3996949
11/14/1997,The Jackal,-5089440
12/25/2003,Paycheck,-6210687
3/1/1996,Up Close & Personal,-9015326
12/19/2008,The Tale of Despereaux,-9122855
9/26/2014,The Boxtrolls,-9162695
9/27/2002,The Tuxedo,-9414000
1/17/2014,Jack Ryan: Shadow Recruit,-9422588
7/14/1995,Under Siege 2: Dark Territory,-9997903
3/24/2005,Miss Congeniality 2: Armed and Fabulous,-11521994
11/26/1997,Alien: Resurrection,-12251390
3/23/2007,Shooter,-12996418
10/16/1998,Practical Magic,-13388796
1/11/2013,Gangster Squad,-13999097
6/19/2009,Year One,-16662721
1/29/2010,Edge of Darkness,-16686110
12/13/2002,Star Trek: Nemesis,-16880121
2/19/2002,Reign of Fire,-16938018
11/20/2009,Planet 51,-17805940
3/20/2009,Duplicity,-19427175
9/12/2008,Righteous Kill,-19918590
12/11/2009,Invictus,-22508636
4/17/2009,State of Play,-22982045
2/12/1999,My Favorite Martian,-23149899
4/21/2006,The Sentinel,-23719303
9/21/2012,Trouble with the Curve,-24236863
10/10/2003,Intolerable Cruelty,-24672372
1/10/1997,The Relic,-26072524
4/3/1998,Mercury Rising,-27059493
9/15/2000,Almost Famous,-27477648
12/6/2002,Analyze That,-27877751
4/24/2009,The Soloist,-28279842
8/21/2013,The Mortal Instruments: City of Bones,-28834579
11/3/2000,The Legend of Bagger Vance,-29304773
2/22/2002,Dragonfly,-29936195
5/13/2011,Priest,-30863374
6/16/2006,Garfield's A Tail of Two Kitties,-31573253
8/15/1997,Event Horizon,-33331908
7/2/2003,Sinbad: Legend of the Seven Seas,-33516548
4/29/2005,XXX: State of the Union,-33917086
7/8/2005,Dark Water,-34526907
8/14/1998,The Avengers,-36614584
9/15/2006,The Black Dahlia,-37454920
3/26/1999,EDtv,-37578913
12/25/2008,The Spirit,-40193812
10/19/2001,The Last Castle,-41791922
1/23/2009,Inkheart,-42696576
1/14/2000,Supernova,-45781132
9/22/2006,Flyboys,-46909370
2/14/2014,Winter's Tale,-47399769
10/9/1998,Holy Man,-47934015
7/11/2008,Meet Dave,-48196746
8/12/2005,The Great Raid,-49833498
1/11/2008,In the Name of the King: A Dungeon Siege Tale,-55224344
10/24/2003,Beyond Borders,-55573703
12/25/2014,American Sniper,292126372
5/25/1988,Rambo III,-4284389
12/15/1995,Sabrina,-4541681
1/20/2012,Red Tails,-8123623
9/16/2005,Just Like Heaven,-9681870
6/7/2013,The Internship,-13327236
4/28/2000,The Flintstones in Viva Rock Vegas,-22768635
4/4/2008,Leatherheads,-26769825
12/18/2009,Did You Hear About the Morgans?,-28419913
12/12/2008,Che El Ar the Argentine,-57706292
5/30/2008,Sex and the City,95147258
9/10/2010,Resident Evil: Afterlife,2628566
6/15/2012,That's My Boy,-20568911
10/17/1997,Devil's Advocate,3984028
2/17/2012,Ghost Rider: Spirit of Vengeance,-5225998
5/31/1996,Dragonheart,-5682650
11/12/2004,After the Sunset,-28671868
8/17/2001,Captain Corelli's Mandolin,-31471505
4/11/2003,Anger Management,79560942
3/4/2005,The Pacifier,57006880
4/2/2004,Walking Tall,-9786176
7/6/1994,Forrest Gump,275151138
12/14/2007,Alvin and the Chipmunks,162326974
2/11/2005,Hitch,122784257
10/6/2000,Meet the Parents,111225040
12/15/2006,The Pursuit of Happyness,107586036
6/10/1995,Pocahontas,86567679
12/15/1978,Superman,79218018
6/28/1996,The Nutty Professor,73769345
10/11/2013,Captain Phillips,52136417
7/16/1997,George Of The Jungle,50224566
8/1/2003,American Wedding,49354205
9/26/2014,The Equalizer,46530738
5/26/1995,Casper,45237375
4/9/2010,Date Night,43711404
12/13/2002,Maid in Manhattan,38932896
5/12/1995,Crimson Tide,36381194
9/23/2005,Flightplan,34706988
4/10/1998,City of Angels,23745923
1/16/2015,Paddington,21223578
4/28/2006,R.V.,16452035
10/28/1994,Stargate,16346004
10/10/2003,Kill Bill: Volume 1,15098138
6/17/2011,Mr. Poppers's Penguins,13224452
8/13/1999,Bowfinger,11365290
4/16/2004,Kill Bill: Volume 2,11207920
12/22/1989,Tango & Cash,6772769
7/31/1992,Death Becomes Her,3422650
5/26/2000,Shanghai Noon,1932305
3/15/1996,Executive Decision,1472312
11/1/2013,Free Birds,750480
5/22/1992,Alien 3,-2639341
4/18/2008,The Forbidden Kingdom,-2924730
12/22/2004,The Phantom of the Opera,-3774204
3/21/2014,Muppets Most Wanted,-3821107
12/25/1996,Evita,-5005196
9/25/1998,Ronin,-13390407
11/24/2010,Burlesque,-15559345
10/11/1996,The Ghost and the Darkness,-16446167
10/24/2008,Changeling,-19260198
7/27/2012,The Watch,-20647000
3/14/2003,The Hunted,-20765992
6/4/1999,Instinct,-20894793
12/12/2003,Stuck On You,-21167259
2/29/2008,Semi-Pro,-21520302
4/27/2012,The Pirates! Band of Misfits,-23948874
12/2/2005,Aeon Flux,-29142013
8/2/1996,Chain Reaction,-34449288
8/16/1996,The Fan,-36593785
10/12/2007,Elizabeth: The Golden Age,-38714760
6/12/2009,Imagine That,-38876677
2/21/2003,Gods and Generals,-42117066
1/10/1997,Turbulence,-43533912
2/1/2013,Bullet to the Head,-45510171
9/22/2006,All the King's Men,-47778542
7/30/2004,Thunderbirds,-48231945
11/26/2004,A Very Long Engagement,-48832183
5/4/2007,Lucky You,-49244714
7/22/1998,Lolita,-53852216
9/20/2002,Eye See You,-54920839
6/19/1981,Superman II,47347629
3/22/2002,Blade 2,27676888
7/14/2006,You Me and Dupree,21628110
12/19/2008,Seven Pounds,15951824
12/25/1990,The Godfather: Part III,12520529
10/14/2005,Elizabethtown,-27149574
8/1/2003,Gigli,-47931265
6/16/2000,Shaft,17314930
8/5/2005,The Dukes of Hazzard,27270227
10/16/2009,Law Abiding Citizen,20357727
11/14/1997,Anastasia,5297830
9/18/2015,Black Mass,4557218
5/18/2001,Moulin Rouge,4386369
11/2/2001,Domestic Disturbance,-7792888
10/20/2006,Flags of Our Fathers,-19397624
4/6/2007,Grindhouse,-27968963
10/16/1998,Beloved,-30156953
12/19/2012,Zero Dark Thirty,43220716
12/25/2002,Catch Me if You Can,112606800
7/18/2008,Mamma Mia!,91762955
6/2/2006,The Break-Up,66703275
2/12/2010,Valentine's Day,58485654
11/22/1995,Casino,-9611840
8/5/2011,The Change-Up,-14918525
12/23/1998,The Thin Red Line,-15614237
12/22/1999,Man on the Moon,-17419365
2/5/2010,From Paris With Love,-27922573
4/16/2003,Bulletproof Monk,-28989393
6/23/2000,Me Myself & Irene,39570999
8/4/2006,Barnyard: The Original Party Animals,21779000
11/22/2006,Deck the Halls,-15906431
3/4/2011,The Adjustment Bureau,12295645
11/20/2009,The Twilight Saga: New Moon,246623634
5/18/2001,Shrek,217655011
6/29/2012,Ted,168665740
6/13/2014,22 Jump Street,141719337
6/14/1991,Robin Hood: Prince of Thieves,115360108
12/13/1996,Jerry Maguire,103620822
12/24/1997,As Good as it Gets,97637474
12/25/1998,Patch Adams,85014968
12/25/2014,Into the Woods,78002372
12/18/2013,Anchorman 2: The Legend Continues,77352707
6/9/2011,Super 8,77004179
6/28/2002,Mr. Deeds,76203320
3/17/2000,Erin Brockovich,75548685
2/7/2003,How to Lose a Guy in 10 Days,55807520
11/11/1994,Interview with the Vampire: The Vampire Chronicles,55163524
12/19/2008,Yes Man,47690976
2/28/2014,Non-Stop,41742160
12/25/1998,Stepmom,41030827
8/9/2013,Disney Planes,40282580
3/10/2006,Failure to Launch,38715192
3/24/2006,Inside Man,38513495
7/29/2011,Crazy Stupid Love,34351197
2/5/1999,Payback,31526121
6/9/1995,Congo,30998938
3/20/2009,Knowing,29957634
3/18/2005,The Ring Two,25941727
11/26/2011,We Bought a Zoo,25624550
9/23/2011,Moneyball,25605492
6/11/2004,Garfield,25367693
11/24/2004,Christmas with the Kranks,23701902
3/17/2006,V for Vendetta,20511035
3/10/1995,Outbreak,17598303
3/13/2009,Race to Witch Mountain,17172594
9/24/2004,The Forgotten,16711892
6/22/2005,Herbie: Fully Loaded,16010682
2/7/2003,Shanghai Knights,10470220
7/18/2014,Planes: Fire and Rescue,9157732
2/10/2006,Curious George,8336565
4/6/2012,American Reunion,6758835
1/25/2013,Hansel & Gretel: Witch Hunters,5703475
2/18/2011,I am Number Four,5100437
9/28/2001,Don't Say a Word,4997476
5/8/2002,Unfaithful,2752475
11/23/2005,Syriana,824620
9/10/2004,Resident Evil: Apocalypse,740078
10/17/2014,The Book of Life,151543
2/14/1997,Absolute Power,7168
2/10/2006,Firewall,-1248811
9/12/1997,The Game,-1734419
8/22/1997,G.I. Jane,-1845268
8/8/2014,Into the Storm,-2397806
10/10/2014,The Judge,-2880612
4/21/2006,Silent Hill,-3017368
8/11/2000,The Replacements,-5262941
7/29/1998,The Negotiator,-5515935
5/25/1994,Beverly Hills Cop III,-7413139
6/15/1990,Gremlins 2: The New Batch,-8523903
9/26/1997,The Peacemaker,-8743723
10/3/2003,Out of Time,-8916892
11/12/2004,Bridget Jones: The Edge Of Reason,-9796980
2/11/2000,The Beach,-10221401
6/10/2005,The Adventures of Sharkboy and Lavagirl in 3-D,-10822459
2/18/1994,On Deadly Ground,-11409542
11/25/2009,Ninja Assassin,-11877117
5/28/2004,Raising Helen,-12514472
9/17/1999,For Love of the Game,-14811360
12/11/1998,Jack Frost,-15454970
6/4/2010,Marmaduke,-16355212
6/28/1996,Striptease,-17241582
10/15/2010,Hereafter,-17253059
4/19/2002,Murder by Numbers,-18125131
10/6/1995,Assassins,-19727062
12/31/2008,Defiance,-21355187
2/9/2007,Hannibal Rising,-22330275
10/15/1999,The Story of Us,-22899970
3/29/2013,The Host,-23376299
3/28/2003,Basic,-23400752
3/13/2015,Run All Night,-23538356
8/9/2002,Blood Work,-23800483
2/13/2009,The International,-24549473
8/9/1996,Escape from L.A.,-24670105
2/27/2004,Twisted,-24804950
12/10/2004,The Life Aquatic with Steve Zissou,-25993274
8/4/1999,The Iron Giant,-26840695
4/8/2011,Your Highness,-28403555
9/30/2011,Dream House,-28697660
9/4/2009,Gamer,-29465093
2/21/2003,The Life of David Gale,-30305365
2/14/2013,Beautiful Creatures,-30547862
2/25/2005,Man of the House,-30881753
9/30/2005,Into the Blue,-31527637
9/14/2007,Eastern Promises,-32818735
7/1/1994,Baby's Day Out,-33418425
11/12/1999,The Messenger: The Story of Joan of Arc,-35728703
11/3/1995,Fair Game,-38502503
2/25/2011,Drive Angry,-39278967
11/7/1997,Mad City,-39443804
10/13/1995,The Scarlet Letter,-39640994
10/14/2005,Domino,-39830798
10/13/1995,Jade,-40187130
2/27/2009,Street Fighter: The Legend of Chun-Li,-40864964
3/29/2002,Death to Smoochy,-41644185
11/13/2009,The Boat That Rocked,-41982533
1/30/2004,The Big Bounce,-43528606
3/3/2000,What Planet Are You From?,-43708398
4/17/2015,Child 44,-48775670
1/23/2009,Outlander,-49833997
12/31/2020,Hannibal the Conqueror,-50000000
12/31/2016,Story of Your Life,-50000000
11/2/2001,The One,-5094254
3/6/2015,Chappie,-17430732
7/11/1990,The Adventures of Ford Fairlane,-28576611
11/16/2012,Anna Karenina,-36183633
5/24/1989,Indiana Jones and the Last Crusade,147705225
10/18/2002,The Ring,81094024
12/27/2000,Traffic,76107476
3/29/2002,Panic Room,47308367
1/9/2015,Taken 3,41256424
8/6/1999,The Thomas Crown Affair,21304264
11/5/1999,The Bone Collector,18488090
10/1/1999,Three Kings,12652036
1/22/2010,The Tooth Fairy,12022256
8/17/2001,Rat Race,8607223
9/2/2007,3:10 to Yuma,5606916
8/13/2001,K-PAX,2315140
12/25/2001,Kate and Leopold,-904547
10/20/2000,Bedazzled,-10120004
6/26/1998,Out of Sight,-10525190
12/14/1984,The Cotton Club,-22071279
1/25/2008,Rambo,-4745895
6/15/1990,Dick Tracy,52098477
6/14/1996,The Cable Guy,13154431
10/19/2001,Riding in Cars with Boys,-17218547
1/5/2007,Happily N'Ever After,-31150968
11/27/2002,Solaris,-32029962
6/18/2010,Jonah Hex,-36452883
2/23/1996,Mary Reilly,-41384992
6/20/1997,My Best Friend's Wedding,80805112
7/20/2001,America's Sweethearts,47607673
11/22/1996,Star Trek: First Contact,45968563
5/24/2002,Insomnia,21263182
9/20/2013,Prisoners,15002302
7/12/1996,Courage Under Fire,12918501
9/17/1982,Inchon,-41591364
3/21/1997,Liar Liar,136395380
11/20/1998,A Bug's Life,117792677
10/5/2012,Taken 2,94854287
5/27/1994,The Flintstones,80388575
10/24/2003,Scary Movie 3,65000082
12/22/2000,Miss Congeniality,61807667
7/11/2008,Journey to the Center of the Earth,56704370
12/17/1993,The Pelican Brief,55768056
8/11/2004,The Princess Diaries 2: Royal Engagement,50149435
12/25/2007,The Bucket List,48466502
7/20/1994,The Client,47112663
11/23/2011,The Muppets,43625922
6/5/1992,Patriot Games,38287363
5/13/2005,Monster-in-Law,37931301
10/5/2001,Training Day,31261036
12/24/1999,Galaxy Quest,26423726
7/4/2001,Scary Movie 2,26277420
8/21/1998,Blade,25001065
1/14/2005,Coach Carter,22264877
3/19/2010,The Bounty Hunter,22061228
4/12/2002,Changing Lanes,21790248
4/11/1997,Anaconda,20557989
1/20/2006,Underworld: Evolution,17318875
8/4/2000,Coyote Ugly,15786269
11/7/2003,Love Actually,14472278
8/9/1996,Jack,13617334
10/7/1994,The Specialist,12344996
8/16/1996,Tin Cup,8854588
11/23/2005,Yours Mine and Ours,8359917
5/13/2005,Kicking and Screaming,7580895
4/29/2005,The Hitchhiker's Guide to the Galaxy,6019112
9/21/2007,Resident Evil: Extinction,5648679
12/25/2004,Fat Albert,3114556
7/6/2012,Savages,2323100
9/30/1994,The River Wild,1451705
5/23/2014,Blended,1290741
1/13/2006,Last Holiday,-6600039
3/3/2006,16 Blocks,-8116461
7/14/1995,The Indian in the Cupboard,-9378236
9/10/2004,Cellular,-12996380
7/28/2006,The Ant Bully,-16857465
7/18/2003,Johnny English,-16986491
12/14/1984,Dune,-17552529
7/31/2009,Aliens in the Attic,-19799588
9/14/2007,Across the Universe,-20656327
12/26/2008,Revolutionary Road,-22088520
8/29/2008,Babylon A.D.,-22467428
11/4/1994,Frankenstein,-22993704
10/4/1996,The Glimmer Man,-24698294
7/17/1996,Multiplicity,-24898139
1/19/2001,The Pledge,-25280070
12/16/2005,The Producers: The Movie Musical,-25601468
6/7/1996,The Phantom,-27779401
7/1/2005,Rebound,-28190986
2/19/2010,The Ghost Writer,-29458451
12/22/2000,All the Pretty Horses,-29472875
9/5/2008,Bangkok Dangerous,-29701867
12/20/1995,Nixon,-31357316
9/21/2012,Dredd,-31585286
1/30/1998,Deep Rising,-33853591
10/21/2011,Johnny English Reborn,-36694030
9/26/2008,Miracle at St. Anna,-37083113
4/5/2002,Big Trouble,-37737712
12/21/2006,Man cheng jin dai huang jin jia,-38433227
11/16/2007,Love in the Time of Cholera,-40382392
12/25/2002,Pinocchio,-41318189
1/31/1997,Shadow Conspiracy,-42845460
12/31/2012,Foodfight!,-45000000
10/12/2012,Argo,91525503
8/6/1993,The Fugitive,128494360
5/22/1985,Rambo: First Blood Part II,106415432
10/18/1996,Sleepers,9300852
7/30/2010,Charlie St. Cloud,-12837455
2/2/1996,The Juror,-21920015
2/6/2014,The Interview,-37894825
11/19/1980,Heaven's Gate,-40515669
6/28/2013,The Heat,116581587
12/19/2000,Finding Forrester,8768623
4/14/2000,28 Days,-5964485
5/13/2005,Danny the Dog,-18462379
4/12/2002,The Sweetest Thing,-18569728
1/28/2011,The Mechanic,-13378502
6/30/1993,The Firm,116340892
3/16/2012,21 Jump Street,96447667
5/28/1999,Notting Hill,74089678
6/21/2000,Chicken Run,64793915
1/16/2004,Along Came Polly,46073507
7/1/1992,Boomerang,23337168
7/10/2009,Brüno,18054530
6/12/1963,Cleopatra,15000000
10/12/2012,Here Comes the Boom,3290318
4/5/2002,High Crimes,-456793
11/15/1996,The Mirror Has Two Faces,-747572
3/11/2011,Red Riding Hood,-4337838
1/25/2002,The Mothman Prophecies,-6771304
7/14/1989,License to Kill,-8802491
1/27/2012,One for the Money,-15585473
3/9/2001,15 Minutes,-17624564
9/16/2005,Lord of War,-17850368
5/28/1993,Super Mario Bros.,-21155093
1/27/2012,Man on a Ledge,-23380000
10/2/1992,Hero,-23792983
12/3/2010,The Warrior's Way,-36333660
4/18/1997,McHale's Navy,-37631547
5/28/2010,Micmacs,-40740307
12/31/2006,Les Bronzés 3: amis pour la vie,-42000000
11/8/2002,8 Mile,75724075
5/11/2001,A Knight’s Tale,15083966
8/22/2003,The Medallion,-18891023
10/14/2011,The Big Year,-33795862
8/6/1999,The Sixth Sense,253506292
7/15/2005,The Wedding Crashers,169218368
6/11/2010,The Karate Kid,136591618
2/13/2015,Fifty Shades of Grey,126167230
6/19/2009,The Proposal,123958031
12/13/2013,American Hustle,110117807
12/25/2003,Cheaper by the Dozen,98614544
7/25/2014,Lucy,86573960
12/25/2013,Lone Survivor,85095601
9/24/1999,Double Jeopardy,76735231
7/25/2003,Spy Kids 3-D: Game Over,71760631
11/22/1989,Back to the Future Part II,69116271
7/24/1996,A Time to Kill,68706165
7/1/1992,A League of Their Own,67404544
10/1/2010,The Social Network,56962694
4/12/2013,42,55020213
8/7/2009,Julie & Julia,54125426
2/6/2009,He's Just Not That Into You,53953653
4/14/2006,Scary Movie 4,50710620
3/27/2015,Get Hard,50411453
2/4/2000,Scream 3,49138076
5/24/1990,Back to the Future Part III,47666629
11/14/2014,Dumb and Dumber To,46208010
4/25/2014,The Other Woman,43911193
2/17/2006,Eight Below,41612565
12/24/1999,The Talented Mr. Ripley,41292135
11/13/1992,Bram Stoker's Dracula,38142084
10/29/2004,Ray,35305995
4/1/2005,Sin City,34103820
2/22/2008,Vantage Point,32266306
9/25/1992,The Last of the Mohicans,31759298
3/20/2009,I Love You Man,31440011
11/9/2001,Shallow Hal,30836296
12/20/1991,JFK,30405498
1/27/2006,Big Momma's House 2,30165972
3/2/2001,The Mexican,26808615
8/28/2009,The Final Destination,26477700
4/17/2009,17 Again,24167069
2/18/2011,Unknown,23686397
6/4/2010,Get Him to the Greek,20974475
11/30/2001,Behind Enemy Lines,18855732
3/18/2011,The Lincoln Lawyer,18009200
10/15/2004,Shall We Dance?,17887882
8/25/2006,Invincible,17806952
2/15/2013,Escape From Planet Earth,17012977
7/31/1997,Spawn,14967359
7/10/1998,Small Soldiers,14452676
11/26/2014,Horrible Bosses 2,14445357
1/25/2002,The Count of Monte Cristo,14228104
10/20/2006,The Prestige,13089891
6/16/2006,The Lake House,12330111
7/9/2010,Predators,12000688
8/15/2012,The Odd Life of Timothy Green,11853450
12/8/2006,Apocalypto,10866635
2/14/2007,Music and Lyrics,10572589
7/31/1987,The Living Daylights,10096813
9/25/2015,The Intern,9592234
3/12/2004,Secret Window,7958031
8/12/2005,The Skeleton Key,7806295
6/20/2014,Jersey Boys,7047013
6/18/1986,Legal Eagles,6210024
5/2/2008,Made of Honor,6012734
11/21/1997,The Rainmaker,5856732
2/7/1992,Medicine Man,4948240
12/12/1997,Amistad,4175394
5/30/2014,A Million Ways to Die in The West,2720965
8/12/2011,Final Destination 5,2587643
4/8/2005,Fever Pitch,2071069
7/18/2014,Sex Tape,-1456527
4/15/2011,Scream 4,-1819072
12/21/1994,Ri¢hie Ri¢h,-1940425
8/11/2000,Autumn in New York,-2247069
3/18/2011,Paul,-2587055
12/19/2012,The Guilt Trip,-2865785
8/26/2011,Colombiana,-3334146
2/26/1999,8MM,-3716499
2/18/2000,Hanging Up,-3962091
8/20/1999,Mickey Blue Eyes,-6135658
10/20/2000,Pay it Forward,-6491078
3/1/1991,The Doors,-6595206
4/8/2011,Arthur,-6964603
3/21/2008,Drillbit Taylor,-7137896
12/25/2011,Extremely Loud and Incredibly Close,-8152119
7/1/1994,The Shadow,-8164400
11/10/2010,Morning Glory,-8988268
11/9/2005,Get Rich or Die Tryin',-9018150
8/25/2000,The Art of War,-9800895
12/25/2013,Grudge Match,-10192740
8/11/2000,Bless the Child,-10625822
11/23/2005,Rent,-10922453
4/2/1999,The Out-of-Towners,-11455880
8/23/1996,The Island of Dr. Moreau,-12336018
9/7/2001,The Musketeer,-12946185
2/29/2008,The Other Boleyn Girl,-13185043
2/16/2001,Sweet November,-14821835
4/5/2007,The Reaping,-14873786
1/7/2011,Season of the Witch,-15172772
6/3/1994,Renaissance Man,-16177442
5/15/1998,Quest for Camelot,-17282242
9/6/2002,City by the Sea,-17566085
1/15/1999,At First Sight,-17673753
1/16/2004,Torque,-18823678
11/13/2009,The Fantastic Mr. Fox,-18997081
2/16/1996,City Hall,-19768240
9/22/1995,Showgirls,-19829563
2/3/2012,Big Miracle,-19842700
12/21/2012,The Impossible,-20980118
3/9/2012,A Thousand Words,-21549873
10/20/2006,Marie Antoinette,-24037529
10/6/2000,Get Carter,-25032818
4/21/1995,Kiss of Death,-25075645
4/26/2002,Life or Something Like It,-25551411
5/15/1987,Ishtar,-25624819
2/28/1992,Memoirs of an Invisible Man,-25641967
10/23/2009,Amelia,-25753512
10/23/2009,Cirque du Freak: The Vampire's Assistant,-25953405
5/7/2004,New York Minute,-25981636
3/12/1999,The Deep End of the Ocean,-26567018
11/5/2004,Alfie,-26604061
8/30/2002,FearDotCom,-26791977
11/7/2008,Soul Men,-27917609
3/20/2015,The Gunman,-29335251
8/20/1999,Universal Soldier II: The Return,-29552579
9/25/2009,Pandorum,-29669147
9/26/2003,Duplex,-30348000
8/16/2013,Paranoia,-32611346
8/1/1980,Raise the Titanic,-33000000
7/10/2015,Baahubali: The Beginning,-33262000
1/4/2002,Impostor,-33885763
11/27/2002,Extreme Ops,-35164032
4/6/2001,Just Visiting,-35222993
6/27/2014,Snowpiercer,-35436971
7/20/2007,Sunshine,-36324928
3/11/1994,The Hudsucker Proxy,-37183482
7/1/1986,Pirates,-38358175
12/12/2008,Delgo,-39084160
9/7/2007,The Hunting Party,-39123329
10/13/2006,Alex Rider: Operation Stormbreaker,-39340790
11/20/2009,Red Cliff,-39372953
9/24/2004,The Last Shot,-39536270
4/2/2010,The Warlords,-39870922
3/16/2007,Nomad,-39920877
4/16/2013,Un monstre à Paris,-40000000
12/31/2015,The Crow,-40000000
8/14/2009,The Time Traveler's Wife,24414846
6/17/1983,Superman III,20950623
2/2/2007,Because I Said So,3674040
10/5/2012,Frankenweenie,-3712212
3/29/1996,Sgt. Bilko,-8858525
9/30/2005,Serenity,-13664065
2/20/2004,Against the Ropes,-33118496
8/23/2013,Yi dai zong shi,-32005041
6/22/2001,The Fast and the Furious,106512310
9/27/2002,Sweet Home Alabama,89214072
7/24/2009,The Ugly Truth,50915214
8/7/2002,Spy Kids 2: The Island of Lost Dreams,47846296
11/18/1994,Star Trek: Generations,37510568
4/17/2015,Paul Blart: Mall Cop 2,33038190
12/19/1997,Mouse Hunt,23834214
4/22/2011,Water for Elephants,20709717
10/8/2010,Life as We Know It,15374681
12/29/1999,The Hurricane,12699241
9/6/2013,Riddick,4025135
3/23/2001,Heartbreakers,2334024
5/24/2002,Enough,1177215
2/6/2009,Push,-6188473
9/20/2013,Rush,-11052376
5/18/2001,Angel Eyes,-13955468
12/21/2001,Joe Somebody,-15229136
3/10/2000,The Ninth Gate,-19346254
9/27/1996,Extreme Measures,-20630459
9/7/2001,Rock Star,-21008098
10/14/2011,The Thing,-21071330
2/2/1996,White Squall,-27770700
10/10/2008,City of Ember,-30128307
10/31/1997,Switchback,-31517805
11/30/2001,Texas Rangers,-37376626
8/26/2008,Virgin Territory,-38000000
5/18/2012,What to Expect When You're Expecting,3652203
9/14/2012,The Master,-21252841
10/4/2008,The Express,-27856275
11/21/2008,Twilight,155769854
8/7/2013,We're the Millers,113394119
9/17/2010,The Town,55186262
9/23/2011,Dolphin Tale,35286779
9/12/2008,Burn After Reading,23355347
4/4/2008,Nim's Island,11006762
2/26/2010,Cop Out,7875481
1/28/2011,The Rite,-3952367
7/18/2008,Space Chimps,-6894032
12/17/1999,Magnolia,-14549025
5/29/2015,Aloha,-15947970
12/31/2009,Obitaemyy ostrov,-36500000
2/11/2011,Gnomeo and Juliet,63967670
2/15/2002,John Q,35026631
9/17/1999,Blue Streak,32208190
10/7/1983,Never Say Never Again,19432841
3/26/2010,Hot Tub Time Machine,14269859
5/2/1997,Breakdown,14129186
9/12/2014,Dolphin Tale 2,6024533
4/4/2003,A Man Apart,-9500000
2/25/2000,Reindeer Games,-12639221
12/24/1999,Snow Falling on Cedars,-21621647
12/20/1996,Ghosts of Mississippi,-22947259
10/24/1997,Gattaca,-23660367
1/28/2000,Isn't She Great,-33045595
5/6/2011,There Be Dragons,-34930666
12/31/2016,Yip Man 3,-36000000
3/28/2003,Head of State,2588228
6/5/2009,The Hangover,242322503
11/20/2009,The Blind Side,220959475
6/23/1989,Batman,213972777
6/10/1999,Austin Powers: The Spy Who Shagged Me,170957794
12/22/2010,True Grit,136050328
9/18/1998,Rush Hour,106153686
5/15/1992,Lethal Weapon 3,104799547
2/8/2013,Identity Thief,99506920
6/30/2006,The Devil Wears Prada,89740460
7/8/2011,Horrible Bosses,82538559
3/30/2001,Spy Kids,77692062
7/17/2015,Trainwreck,75008260
12/13/2013,Saving Mr. Banks,48299761
12/7/1979,Star Trek: The Motion Picture,47258456
3/21/2008,21,46159365
5/3/2008,What Happens in Vegas...,45277646
11/15/1991,Cape Fear,44091969
