Release Date,Movie Title,Profit Amount
7/3/2002,Men in Black 2,50418803
7/22/2011,Captain America: The First Avenger,36654505
7/10/1998,Lethal Weapon 4,-10265197
3/27/2013,G.I. Joe: Retaliation,-17476940
12/5/2003,The Last Samurai,-28889425
12/21/2005,Fun With Dick And Jane,-29450000
12/12/2014,Exodus: Gods and Kings,-74985487
5/3/2002,Spider-Man,264706375
3/6/2009,Watchmen,-30490201
7/29/2005,Stealth,-106295584
6/13/2008,The Incredible Hulk,-2966115
6/20/2003,Hulk,-4822766
7/11/2001,Final Fantasy: The Spirits Within,-104868170
11/16/2012,The Twilight Saga: Breaking Dawn Part 2,156124737
10/1/2012,The Croods,52168425
11/19/1999,The World is Not Enough,-8069340
3/4/2011,Rango,-11742419
11/14/2003,Master and Commander: The Far Side of the World,-41073614
7/17/2013,Turbo,-51971870
11/18/2011,Happy Feet Two,-70993534
7/28/2006,Miami Vice,-71549530
6/29/2005,War of the Worlds,102280354
11/26/2014,Penguins of Madagascar,-48649089
11/22/2013,The Hunger Games: Catching Fire,294668047
6/4/2004,Harry Potter and the Prisoner of Azkaban,119538952
8/3/2007,The Bourne Ultimatum,97471070
6/6/2008,Kung Fu Panda,85434591
7/17/2015,Ant-Man,48636091
3/27/2015,Home,47397510
10/28/2011,Puss in Boots,19260504
11/5/2010,Megamind,18415853
7/18/2003,Bad Boys II,8540870
4/11/2014,Rio 2,1538435
7/23/2010,Salt,-11688632
3/28/2014,Noah,-28799956
12/21/2011,The Adventures of Tintin,-52408169
5/31/2013,After Earth,-69477903
11/26/2008,Australia,-80445998
7/19/2013,R.I.P.D.,-96381145
11/18/2011,The Twilight Saga: Breaking Dawn Part 1,153787133
5/19/2000,Dinosaur,10248063
12/19/2014,Night at the Museum: Secret of the Tomb,-13253379
7/15/2011,Harry Potter and the Deathly Hallows: Part II,256011219
11/21/2014,The Hunger Games: Mockingjay - Part 1,212135885
11/16/2001,Harry Potter and the Sorcerer’s Stone,192575550
7/9/2003,Pirates of the Caribbean: The Curse of the Black Pearl,180411224
11/19/2010,Harry Potter and the Deathly Hallows: Part I,170001070
5/19/2006,The Da Vinci Code,92536138
5/2/2003,X2,89949694
4/29/2011,Fast Five,84837675
8/8/2014,Teenage Mutant Ninja Turtles,66204754
12/16/2011,Sherlock Holmes: A Game of Shadows,61848418
5/28/2004,The Day After Tomorrow,61740799
4/1/2010,Clash of the Titans,38214888
5/19/1998,Godzilla,11142003
6/8/2012,Prometheus,1477084
8/10/2012,The Bourne Legacy,-11796130
6/20/1997,Batman & Robin,-17691672
8/3/2012,Total Recall,-66122031
8/27/1999,The 13th Warrior,-92305212
11/20/2015,The Hunger Games: Mockingjay - Part 2,-125000000
11/17/2000,How the Grinch Stole Christmas,137044825
5/24/2000,Mission: Impossible 2,95409889
6/30/2000,The Perfect Storm,62618434
6/15/2007,Fantastic Four: Rise of the Silver Surfer,11921738
11/21/2012,Life of Pi,4987022
2/16/2007,Ghost Rider,-4197404
6/27/2003,Charlie's Angels: Full Throttle,-19185672
8/9/2013,Elysium,-26949883
4/19/2013,Oblivion,-30892765
7/19/2002,Stuart Little 2,-55263886
2/12/2014,RoboCop,-61392993
6/11/2004,The Chronicles of Riddick,-62287249
8/7/2015,Fantastic Four,-63913949
5/9/2008,Speed Racer,-76054234
7/22/2005,The Island,-84181087
12/17/2010,How Do You Know?,-89787380
11/4/2016,Trolls,-120000000
6/23/2010,Knight and Day,-40576965
5/19/1999,Star Wars Ep. I: The Phantom Menace,359544677
5/19/2005,Star Wars Ep. III: Revenge of the Sith,265270577
5/16/2002,Star Wars Ep. II: Attack of the Clones,187181125
11/2/2001,Monsters Inc.,174423425
7/26/2013,The Wolverine,17556852
2/7/1997,Dante's Peak,-47844258
6/14/2002,Windtalkers,-74085932
12/31/2008,Astérix aux Jeux Olympiques,-112500189
12/25/2010,Gulliver's Travels,-69220739
10/4/2013,Gravity,164092705
12/22/2006,Night at the Museum,140863268
6/10/2005,Mr. and Mrs. Smith,76336279
5/29/2015,San Andreas,45181732
7/29/2011,The Smurfs,32614158
6/27/2007,Live Free or Die Hard,24529403
3/20/2015,Insurgent,20179072
12/10/2004,Ocean's Twelve,15531634
12/19/1997,Tomorrow Never Dies,15279326
6/28/2000,The Patriot,3330342
3/7/2014,300: Rise of an Empire,-3419949
12/17/2004,The Aviator,-7391173
1/14/2011,The Green Hornet,-11219958
10/7/2011,Real Steel,-24536691
6/11/2010,The A-Team,-32777901
7/31/2013,The Smurfs 2,-38982216
6/12/2009,The Taking of Pelham 123,-44547688
11/1/2013,Ender's Game,-48262809
4/2/2004,Home on the Range,-59973647
6/13/1997,Speed II: Cruise Control,-61931604
5/6/2005,Kingdom of Heaven,-62601587
6/16/2004,Around the World in 80 Days,-85995841
12/19/2001,The Lord of the Rings: The Fellowship of the Ring,206544750
11/21/2003,The Cat in the Hat,-7981717
12/25/2001,Ali,-50816034
10/2/2015,The Martian,715595
7/16/2004,I Robot,39795350
12/17/1999,Stuart Little,35015224
11/25/2009,The Princess and the Frog,-599101
3/7/2008,10000 B.C.,-10215799
4/27/2001,Town & Country,-98287549
6/9/2000,Gone in 60 Seconds,-1656992
5/5/2000,Gladiator,84683805
5/23/2013,The Hangover 3,9200072
7/1/2009,Public Enemies,-5395380
11/17/2006,Casino Royale,65220102
6/21/2002,Minority Report,30024714
10/26/2012,Cloud Atlas,-74891728
11/15/2002,Harry Potter and the Chamber of Secrets,161987880
7/2/1991,Terminator 2: Judgment Day,101858746
6/16/1995,Batman Forever,83997904
7/27/2001,Planet of the Apes,80011740
11/19/2004,National Treasure,73005002
12/25/2012,Django Unchained,62805434
12/22/2010,Little Fockers,48438600
7/15/1994,True Lies,46273950
11/2/2007,American Gangster,30164645
9/18/2009,Cloudy with a Chance of Meatballs,24870275
8/6/2010,The Other Guys,19219978
12/17/2004,Lemony Snicket's A Series of Unfortunate Events,18627117
12/25/2013,The Wolf of Wall Street,16900694
5/24/2013,Epic,7518682
6/21/1996,Eraser,1283031
6/21/1996,The Hunchback of Notre Dame,117603
12/15/2000,The Emperor's New Groove,-10703427
8/17/2012,The Expendables 2,-14971808
10/16/2009,Where the Wild Things Are,-22766533
12/15/2006,Eragon,-24969837
7/25/2014,Hercules,-27311386
12/10/2010,The Tourist,-32368843
11/24/1999,End of Days,-33110957
6/11/2004,The Stepford Wives,-40524377
6/8/2007,Surf's Up,-41132306
12/8/2006,Blood Diamond,-42622084
9/24/2010,Legend of the Guardians: The Owls of Ga'Hoole,-44324687
11/7/1997,Starship Troopers,-45299935
6/5/2009,Land of the Lost,-50561630
12/25/2003,Peter Pan,-51582150
7/23/2004,Catwoman,-59797621
8/15/2014,The Expendables 3,-60677456
11/27/2002,Treasure Planet,-61879446
3/12/2010,Green Zone,-64946340
4/18/2014,Transcendence,-76977691
2/18/2005,Son of the Mask,-82981578
4/3/1998,The Spanish Prisoner,-89837966
8/16/2002,The Adventures of Pluto Nash,-95588898
12/21/2011,Jin líng shí san chai,-99688566
5/4/2001,The Mummy Returns,104007640
12/20/2002,Gangs of New York,-19269500
10/21/2016,Jack Reacher 2,-96000000
3/13/2015,Cinderella,106151353
7/13/2012,Ice Age: Continental Drift,66321843
12/28/2001,Black Hawk Down,13638745
5/27/2010,Sex and the City 2,347692
2/12/2010,Percy Jackson & the Olympians: The Lightning Thief,-6231697
11/12/2010,Unstoppable,-13437058
5/9/1997,The Fifth Element,-31459980
3/31/2000,The Road to El Dorado,-44197339
12/11/2009,The Lovely Bones,-50971762
2/6/2015,Seventh Son,-77776735
5/30/2003,Finding Nemo,286529370
12/17/2003,The Lord of the Rings: The Return of the King,283845905
12/18/2002,The Lord of the Rings: The Two Towers,248548984
6/15/2001,Lara Croft: Tomb Raider,37144183
7/18/2001,Jurassic Park III,88166115
8/5/2011,Rise of the Planet of the Apes,83760185
2/14/2008,The Spiderwick Chronicles,-21304947
11/5/2004,The Incredibles,169441092
2/14/2013,A Good Day to Die Hard,-24650802
4/9/2004,The Alamo,-69593638
12/22/1995,Cutthroat Island,-82166603
12/25/2013,The Secret Life of Walter Mitty,-32763162
7/1/1997,Men in Black,160147615
11/19/1999,Toy Story 2,155823397
8/3/2001,Rush Hour 2,136164286
12/25/2009,Sherlock Holmes,119028679
7/1/2009,Ice Age: Dawn of the Dinosaurs,106573705
7/21/2000,What Lies Beneath,65370362
4/15/2011,Rio,53619809
10/6/2006,The Departed,42384315
11/3/2000,Charlie's Angels,35305545
6/19/1998,Mulan,30618403
8/13/2008,Tropic Thunder,20461307
12/20/2011,The Girl with the Dragon Tattoo,12515793
7/11/1997,Contact,10769177
6/6/2008,You Don't Mess With the Zohan,10018837
5/19/1995,Die Hard: With a Vengeance,9983259
6/8/2001,Atlantis: The Lost Empire,-5947238
12/25/2008,Valkyrie,-6922238
6/29/2001,Artificial Intelligence: AI,-11383311
7/24/2015,Pixels,-11797245
11/26/2003,The Haunted Mansion,-14182006
8/4/2000,Hollow Man,-16790660
4/22/2005,The Interpreter,-17484640
8/7/2013,Percy Jackson: Sea of Monsters,-21440446
7/25/2003,Lara Croft: Tomb Raider: The Cradle of Life,-24346242
11/21/2001,Spy Game,-27637440
4/4/1997,The Saint,-28644564
3/10/2000,Mission to Mars,-29125385
12/17/1999,Bicentennial Man,-31779224
7/7/2004,King Arthur,-38122037
4/25/1997,Volcano,-42525888
3/26/1997,The Devil's Own,-47122835
7/19/2002,K-19: The Widowmaker,-54831034
8/19/2011,Conan the Barbarian,-68704979
10/21/2011,The Three Musketeers,-69625516
11/24/2010,The Nutcracker in 3D,-89804541
5/10/1996,Twister,153688385
6/3/2005,Cinderella Man,-26350089
7/8/2005,Fantastic Four,67195569
2/9/2001,Hannibal,78091986
7/25/2003,Seabiscuit,34197488
12/22/2000,Cast Away,148632142
11/17/2006,Happy Feet,113000317
12/7/2001,Ocean's Eleven,98417150
7/23/2004,The Bourne Supremacy,91087450
7/25/1997,Air Force One,87620724
4/3/2009,Fast & Furious,70064265
3/14/2008,Horton Hears a Who,69529439
3/21/2014,Divergent,65947895
9/28/2012,Hotel Transylvania,63313048
11/21/2007,Enchanted,42706877
2/10/2012,Safe House,41181630
7/20/2007,I Now Pronounce You Chuck and Larry,34725280
6/8/2007,Ocean's Thirteen,32144465
12/25/2009,It's Complicated,27735375
11/20/1998,Enemy of the State,26544445
9/29/2006,Open Season,-674332
11/4/2011,Tower Heist,-6953430
11/22/2000,102 Dalmatians,-18058441
3/30/2012,Mirror Mirror,-20064833
12/8/2006,The Holiday,-21775151
6/16/2006,The Fast and the Furious: Tokyo Drift,-22485585
12/9/2005,Memoirs of a Geisha,-27989147
3/16/2001,Enemy at the Gates,-33603219
6/18/1993,Last Action Hero,-34983606
9/26/2003,The Rundown,-37358257
11/23/2011,Arthur Christmas,-38537531
7/30/2010,Cats & Dogs: The Revenge of Kitty Galore,-39460708
11/13/1998,Meet Joe Black,-40393665
2/8/2002,Collateral Damage,-44951668
3/15/2002,Showtime,-47051235
6/30/1995,Judge Dredd,-50312088
3/2/2007,Zodiac,-51919916
8/13/2010,Scott Pilgrim vs. The World,-53475725
3/28/2003,The Core,-53888740
5/9/1997,Father's Day,-56340396
6/14/2002,Scooby-Doo,69294164
7/28/2000,Nutty Professor II: The Klumps,39307945
7/19/2013,RED 2,-30737440
6/23/2006,Click,54840146
12/15/2006,Charlotte's Web,99768
2/14/2008,Jumper,-1331735
7/11/2008,Hellboy II: The Golden Army,-6708215
5/27/2005,The Longest Yard,76119460
8/13/2010,The Expendables,21068524
11/17/2000,The 6th Day,-47456299
5/23/2003,Bruce Almighty,161704995
3/23/2012,The Hunger Games,328010692
5/26/2011,The Hangover Part II,174464305
5/21/1996,Mission: Impossible,100891004
6/18/1992,Batman Returns,82833635
5/7/1999,The Mummy,75247825
5/19/2006,Over the Hedge,75019340
6/21/2002,Lilo & Stitch,65771527
5/8/1998,Deep Impact,60300426
7/12/2013,Grown Ups 2,53668525
12/16/2011,Alvin and the Chipmunks: Chipwrecked,53107389
6/20/2008,Get Smart,50319208
3/11/2005,Robots,48200012
2/19/2010,Shutter Island,48012934
12/12/2003,Something's Gotta Give,44685242
11/26/2008,Four Christmases,40146040
9/25/2015,Hotel Transylvania 2,36942033
6/27/1997,Face/Off,32273211
12/25/2008,Bedtime Stories,30101975
7/12/2002,The Road to Perdition,24054514
2/11/2011,Just Go With It,23028109
2/14/2003,Daredevil,22543518
9/26/2008,Eagle Eye,21440743
6/6/1997,Con Air,21087161
12/17/2010,Yogi Bear,20246011
12/25/2003,Cold Mountain,15632614
1/15/2010,The Book of Eli,14835059
11/26/1997,Flubber,12969824
7/23/1999,The Haunting,11188905
11/15/1996,Space Jam,10443603
10/17/2014,Fury,5755593
2/10/2006,The Pink Panther,2226474
7/8/2011,Zookeeper,360866
12/12/2008,The Day the Earth Stood Still,-633022
8/8/1997,Conspiracy Theory,-3918502
6/12/1998,Six Days Seven Nights,-5707851
5/24/2002,Spirit: Stallion of the Cimarron,-6784690
6/8/2001,Swordfish,-10227031
4/3/1998,Lost In Space,-10897090
7/30/2004,The Manchurian Candidate,-14051289
11/22/2006,Déjà Vu,-15961384
6/24/2005,Bewitched,-17747585
1/1/2000,Fantasia 2000 (IMAX),-19492772
3/8/2002,The Time Machine,-23315181
10/2/1998,What Dreams May Come,-24649103
12/25/1998,Mighty Joe Young,-29371991
10/28/2005,The Legend of Zorro,-34643614
11/10/2000,Little Nicky,-40557129
9/25/2009,Surrogates,-41422228
6/8/2001,Evolution,-41688866
8/26/2005,The Brothers Grimm,-42100362
12/13/1996,Mars Attacks!,-42245792
4/14/2006,The Wild,-42615954
12/20/2013,Walking with Dinosaurs,-43923879
12/22/2000,Thirteen Days,-45433254
12/6/1996,Daylight,-47114435
2/21/2014,Pompeii,-56830967
5/12/2000,Battlefield Earth: A Saga of the Year 3000,-58528315
11/14/2003,Looney Tunes: Back in Action,-59049180
12/18/2009,Nine,-60323035
11/26/2003,Timeline,-60519261
4/22/2010,Oceans,-60577681
11/25/1998,Babe: Pig in the City,-61682000
12/25/1997,The Postman,-62406609
11/10/2000,Red Planet,-62519110
12/15/2006,Arthur et les Minimoys,-64867237
8/17/2007,The Invasion,-64925809
6/16/2000,Fantasia 2000 (Theatrical Release),-70896370
9/2/2005,A Sound of Thunder,-78099549
6/15/1994,The Lion King,343480140
2/10/2012,Journey 2: The Mysterious Island,24860290
11/11/2011,Jack and Jill,-4841843
12/21/2001,A Beautiful Mind,92708996
9/27/2013,Cloudy with a Chance of Meatballs 2,41793567
10/4/2002,Red Dragon,14955420
3/5/2004,Hidalgo,-10713269
7/11/2003,The League of Extraordinary Gentlemen,-11534796
8/20/2004,Exorcist: The Beginning,-36185137
12/31/2012,Astérix et Obélix: Au service de Sa Majesté,-77600000
12/31/2015,The Little Prince,-77500000
7/2/2013,Despicable Me 2,292065385
